      Mean      StdDev         Min         Max          Mean      StdDev         Min         Max
------------------------------------------------------------------------------------------------
2.988E+000  1.129E+000  8.982E-002  6.600E+000    4.404E+001  1.177E+001  1.420E+001  9.570E+001
3.489E+000  1.205E+000  2.751E-001  7.030E+000    5.311E+001  1.697E+001  1.749E+001  2.528E+002
3.992E+000  1.257E+000  4.253E-001  7.808E+000    6.264E+001  2.064E+001  1.539E+001  2.563E+002
4.491E+000  1.323E+000  6.739E-001  8.507E+000    7.535E+001  2.607E+001  1.952E+001  2.529E+002
4.991E+000  1.372E+000  1.255E+000  9.171E+000    9.193E+001  3.310E+001  2.641E+001  2.548E+002
5.494E+000  1.427E+000  1.277E+000  9.861E+000    1.095E+002  3.960E+001  2.979E+001  3.526E+002
5.987E+000  1.506E+000  1.821E+000  1.037E+001    1.281E+002  4.365E+001  3.873E+001  3.509E+002
6.491E+000  1.546E+000  1.848E+000  1.109E+001    1.489E+002  4.804E+001  6.095E+001  3.591E+002
6.989E+000  1.608E+000  2.249E+000  1.164E+001    1.719E+002  5.292E+001  6.067E+001  3.598E+002
7.491E+000  1.660E+000  2.669E+000  1.231E+001    1.966E+002  6.050E+001  6.439E+001  4.566E+002
7.988E+000  1.727E+000  2.484E+000  1.305E+001    2.201E+002  6.255E+001  8.000E+001  4.548E+002
8.490E+000  1.773E+000  2.996E+000  1.362E+001    2.441E+002  6.239E+001  7.942E+001  4.590E+002
8.989E+000  1.832E+000  3.621E+000  1.474E+001    2.648E+002  5.282E+001  1.255E+002  4.521E+002
9.488E+000  1.890E+000  3.820E+000  1.543E+001    2.793E+002  4.838E+001  1.270E+002  4.570E+002
9.990E+000  1.940E+000  3.788E+000  1.631E+001    2.916E+002  4.366E+001  1.347E+002  4.593E+002
1.049E+001  2.000E+000  4.566E+000  1.712E+001    2.960E+002  3.779E+001  1.670E+002  4.512E+002
1.099E+001  2.054E+000  4.827E+000  1.777E+001    2.956E+002  3.497E+001  1.742E+002  4.523E+002
1.149E+001  2.101E+000  4.672E+000  1.789E+001    2.910E+002  3.782E+001  1.628E+002  4.504E+002
1.199E+001  2.146E+000  5.064E+000  1.868E+001    2.810E+002  4.112E+001  1.609E+002  4.513E+002
1.249E+001  2.213E+000  5.513E+000  1.929E+001    2.693E+002  4.346E+001  1.521E+002  4.557E+002
1.299E+001  2.273E+000  5.033E+000  2.017E+001    2.589E+002  4.366E+001  1.424E+002  4.559E+002
1.349E+001  2.324E+000  5.755E+000  2.079E+001    2.473E+002  4.234E+001  1.288E+002  4.575E+002
1.399E+001  2.381E+000  6.960E+000  2.206E+001    2.370E+002  4.161E+001  1.233E+002  4.578E+002
1.449E+001  2.439E+000  7.222E+000  2.324E+001    2.256E+002  3.878E+001  1.144E+002  4.507E+002
1.499E+001  2.490E+000  6.889E+000  2.274E+001    2.179E+002  3.965E+001  1.053E+002  4.563E+002
1.549E+001  2.548E+000  7.452E+000  2.332E+001    2.098E+002  3.627E+001  1.058E+002  4.568E+002
1.598E+001  2.612E+000  6.693E+000  2.472E+001    2.032E+002  3.543E+001  1.047E+002  4.511E+002
1.649E+001  2.654E+000  7.565E+000  2.465E+001    1.958E+002  3.414E+001  9.459E+001  4.537E+002
1.699E+001  2.711E+000  8.418E+000  2.581E+001    1.900E+002  3.245E+001  8.804E+001  4.546E+002
1.748E+001  2.777E+000  9.128E+000  2.654E+001    1.857E+002  3.085E+001  9.400E+001  4.574E+002
1.799E+001  2.827E+000  8.572E+000  2.645E+001    1.802E+002  3.134E+001  8.456E+001  4.568E+002
1.848E+001  2.880E+000  8.848E+000  2.811E+001    1.749E+002  3.077E+001  7.491E+001  4.595E+002
1.898E+001  2.940E+000  9.203E+000  2.793E+001    1.716E+002  3.000E+001  7.273E+001  4.565E+002
